1,0.9756,0.9524,0.9304,0.9094,0.8894,0.8704,0.8523,0.8352,0.8188
0.9756,1,0.9756,0.9524,0.9304,0.9094,0.8894,0.8704,0.8523,0.8352
0.9524,0.9756,1,0.9756,0.9524,0.9304,0.9094,0.8894,0.8704,0.8523
0.9304,0.9524,0.9756,1,0.9756,0.9524,0.9304,0.9094,0.8894,0.8704
0.9094,0.9304,0.9524,0.9756,1,0.9756,0.9524,0.9304,0.9094,0.8894
0.8894,0.9094,0.9304,0.9524,0.9756,1,0.9756,0.9524,0.9304,0.9094
0.8704,0.8894,0.9094,0.9304,0.9524,0.9756,1,0.9756,0.9524,0.9304
0.8523,0.8704,0.8894,0.9094,0.9304,0.9524,0.9756,1,0.9756,0.9524
0.8352,0.8523,0.8704,0.8894,0.9094,0.9304,0.9524,0.9756,1,0.9756
0.8188,0.8352,0.8523,0.8704,0.8894,0.9094,0.9304,0.9524,0.9756,1
